19	15	3	7	9	6	5	18	15	23	6	1	9	1	17	10	4	14	3	6
8	6	14	0	0	18	21	20	19	0	24	2	21	17	19	18	21	0	6	11
21	21	18	7	5	8	15	8	6	0	17	23	10	16	17	2	3	16	6	12
10	11	23	2	13	21	23	16	11	23	23	16	22	9	6	11	24	3	23	16
20	22	9	15	23	12	20	0	21	17	9	10	18	17	23	16	4	18	5	4
12	2	11	9	4	18	16	0	15	13	1	1	0	14	19	24	15	1	0	13
1	22	4	22	10	9	3	2	12	0	8	22	13	24	1	5	12	22	17	9
22	13	23	4	12	3	3	19	15	10	21	24	2	21	24	8	13	20	17	14
20	17	12	23	13	3	3	1	24	2	21	21	17	21	13	6	15	21	19	9
22	11	0	16	20	8	15	15	0	17	23	6	1	5	7	21	0	19	2	1
